query,cluster,text,videosNumber,ids
pfas,10,nederland,3,7265252964451847457|7281993719169977633|7287243935041342752
pfas,10,pinepollen,4,7293127926571109664|7291311041634422048|7290940914275454240|7290572285310733600
pfas,10,piemelpoeder,3,7293127926571109664|7291311041634422048|7290940914275454240
pfas,11,trainingspak,12,7183392900481371398|7183288006424448262|7186734933401079045|7185852005003414789|7185279419437600005|7206596188546534661|7206057871560281350|7239452455728074011|7239074202731416858|7271227692844977441|7270865251237678369|7270590070351023392
pfas,12,testosteron,9,7256068712170556698|7255682148882058523|7255331107602713882|7262727267166604576|7262369207894019361|7293127926571109664|7291311041634422048|7290940914275454240|7290572285310733600
pfas,12,hormonen,3,7256068712170556698|7255682148882058523|7255331107602713882
pfas,12,hormoonbalans,3,7256068712170556698|7255682148882058523|7255331107602713882
pfas,12,hormoonfactor,3,7256068712170556698|7255682148882058523|7255331107602713882
pfas,12,amplifier,4,7293127926571109664|7291311041634422048|7290940914275454240|7290572285310733600
pfas,13,zeeland,9,7089726334074735878|7142604260398632198|7194805928699432198|7208640896588369157|7208238698264038661|7255586780173438235|7254897967226735898|7277944936488520992|7299919136816221472
pfas,14,pfas,86,7089726334074735878|7148822748473691397|7142604260398632198|7141798964835241222|7155856189589409030|7166684642202946822|7183273572821912837|7183032263074958598|7178997078058683654|7178445497747721478|7178081613929041158|7178081502687808773|7178081006455475461|7194805928699432198|7189356294984256774|7188565443072855302|7188526331594919174|7185922692120349957|7185232133458300166|7197848534186528006|7197848147463359750|7197847597443403013|7197742010009242886|7196266423117712646|7195658090618965254|7210035808017894661|7208665053820701958|7208640896588369157|7208238698264038661|7205990611420187909|7227856647262080282|7227459460728376602|7224837250884898075|7223502094827916571|7222208174173064454|7238527099621903643|7245700710808014107|7245323679964482843|7260147537544236314|7256068712170556698|7256017973008239899|7255682148882058523|7255586780173438235|7255331107602713882|7252462697441152282|7269018854054022432|7266421185422904609|7265252964451847457|7263871406859947297|7263095949889735969|7262727267166604576|7262369207894019361|7283834184458652961|7283833771533602080|7283833346772192544|7283517092274507040|7283515861242105120|7282656757506182433|7281993719169977633|7280160356931079456|7277944936488520992|7277663831629794592|7277477898083224864|7277458332485438753|7296167294298852640|7295282990005947680|7293127926571109664|7291625229451840800|7291605960697679136|7291582578065181985|7291311041634422048|7290940914275454240|7290572285310733600|7289792399528758560|7287243935041342752|7287183900344913184|7306186584800480545|7305444635843792160|7305040867360787745|7301056738172751137|7300157205892975904|7298598025331608865|7313955005944433952|7313361055588175137|7311643386262474016|7308012622341836065
pfas,14,fyp,10,7148822748473691397|7188526331594919174|7197742010009242886|7210035808017894661|7208640896588369157|7245700710808014107|7240365955484749082|7291582578065181985|7306186584800480545|7301056738172751137
pfas,14,pfasinmakeup,3,7155856189589409030|7227856647262080282|7277663831629794592
pfas,14,fy,7,7155224248989093126|7155223378754850053|7188526331594919174|7197742010009242886|7245700710808014107|7281993719169977633|7306186584800480545
pfas,14,pfasvrij,9,7187483254180613381|7238527099621903643|7246760375696362779|7240365955484749082|7252386919655427355|7283124727059582241|7295282990005947680|7301590008392158497|7318047422582672672
pfas,14,pfasfree,3,7246760375696362779|7288381207316843809|7318047422582672672
pfas,14,pfascoverup,3,7256068712170556698|7255682148882058523|7255331107602713882
pfas,14,filtration,3,7296167294298852640|7305444635843792160|7307682938693471521
pfas,14,fontaineagravite,4,7296167294298852640|7305444635843792160|7296538290465918241|7307682938693471521
pfas,15,voorjou,22,7155223378754850053|7183392900481371398|7183288006424448262|7178168674262453509|7177338775616507141|7175220556873157894|7174740152768662789|7173646306718567685|7173645008761883910|7173346765205261574|7185279419437600005|7197742010009242886|7208640896588369157|7206596188546534661|7206057871560281350|7205990611420187909|7239452455728074011|7239074202731416858|7245700710808014107|7252386919655427355|7283124727059582241|7294894832965733665
pfas,16,sp,24,7183273572821912837|7183032263074958598|7178445497747721478|7189356294984256774|7188565443072855302|7185922692120349957|7197848534186528006|7197848147463359750|7197847597443403013|7196266423117712646|7195658090618965254|7256017973008239899|7269018854054022432|7266421185422904609|7283834184458652961|7283833771533602080|7283833346772192544|7282656757506182433|7277477898083224864|7277458332485438753|7291625229451840800|7289792399528758560|7287183900344913184|7300157205892975904
pfas,16,sliedrecht,19,7183273572821912837|7183032263074958598|7189356294984256774|7188565443072855302|7185922692120349957|7197848534186528006|7197848147463359750|7197847597443403013|7196266423117712646|7195658090618965254|7223502094827916571|7222208174173064454|7256017973008239899|7252462697441152282|7282656757506182433|7291625229451840800|7287183900344913184|7311643386262474016|7308012622341836065
pfas,16,stemsp,5,7208640896588369157|7208238698264038661|7291625229451840800|7287243935041342752|7300157205892975904
pfas,16,schouderseronder,3,7263095949889735969|7262727267166604576|7262369207894019361
pfas,17,elonmusk,4,7293127926571109664|7291311041634422048|7290940914275454240|7290572285310733600
pfas,18,lakers,3,7185852005003414789|7206596188546534661|7206057871560281350
pfas,18,koken,3,7270117520487615776|7283124727059582241|7281993719169977633
pfas,18,berkey,3,7296167294298852640|7296538290465918241|7307682938693471521
pfas,19,cute,3,7155227255537405190|7155224248989093126|7155223378754850053
pfas,19,kerstcadeau,7,7178168674262453509|7177338775616507141|7175220556873157894|7174740152768662789|7173646306718567685|7173645008761883910|7173346765205261574
pfas,19,jassen,3,7186734933401079045|7185852005003414789|7239074202731416858
pfas,19,stikstof,3,7197742010009242886|7245700710808014107|7260147537544236314
pfas,19,zembla,3,7245700710808014107|7245323679964482843|7291582578065181985
pfas,19,neuralink,4,7293127926571109664|7291311041634422048|7290940914275454240|7290572285310733600
glyphosate,3,glyfosaat,5,7293569530192776481|7311322412459527457|7227066695242812715|7293569530192776481|7311322412459527457
glyphosate,12,skal,4,7293569530192776481|7311322412459527457|7293569530192776481|7311322412459527457
micro plastics,0,healthy,3,7111435698338581765|7256383711132847386|7317283993605508384
micro plastics,0,health,8,7174161735895534853|7191080145900358918|7226153811692244250|7235070602082553114|7229937289982430491|7254362707221138715|7289304689634594081|7317283993605508384
micro plastics,0,gezondheid,6,7174161735895534853|7191080145900358918|7223372214551334171|7231865060031761690|7263095949889735969|7262727267166604576
micro plastics,1,microplastics,93,7081293835501866246|7080413142957837574|7075327800906894597|7092022222189104390|7086063131386006790|7084554789157129478|7084183595228597510|7111435698338581765|7105494495839423749|7129917525814463750|7148801608539753733|7147746563689893126|7145515810918796550|7156692481927580934|7155856189589409030|7152627131271367942|7166312795993083142|7162914535349685509|7174161735895534853|7191080145900358918|7191045105191505158|7187211176730692869|7187068745393638661|7198792059354959110|7216336336364506374|7215859914743336197|7212631463622233350|7210023002677726470|7226992340731268378|7226446391692774682|7226264560049736987|7226153811692244250|7223372214551334171|7223317193792982298|7221072126529342725|7220711936256675078|7220357900793875717|7218544143742569733|7218537052487372038|7236702800904768773|7235171085367446810|7235070602082553114|7231865060031761690|7231491873297222918|7231222456793484571|7229937289982430491|7229758057889139995|7247240269425347866|7245778760828521755|7244078696238206235|7259085608541293851|7256383711132847386|7255639786390605082|7254362707221138715|7252335420401388805|7251563290726337819|7265221530655771936|7263520068032613665|7263458663883361568|7263095949889735969|7262727267166604576|7283153065895529761|7281742817116900640|7277944618300329248|7275642887356861729|7275437490775788833|7275357793857572128|7274056129582239009|7295727194725240096|7291274982728977697|7290866604567465248|7290803029039697185|7290572093484191008|7287901171015142689|7286064310273527073|7305276783463615777|7304295109888118049|7303515717586914592|7301711743858855201|7300104605612985633|7298012481216105761|7296500957859384609|7318341881421679905|7317547921468165408|7317283993605508384|7315753052542160161|7314651878221040928|7313596435759500577|7311654500442410273|7309232913428630816|7309060876626070817|7308692386165706016|7308360683064659232
micro plastics,1,plasticpollution,7,7084183595228597510|7145515810918796550|7221072126529342725|7220357900793875717|7231222456793484571|7265221530655771936|7275642887356861729
micro plastics,1,plasticfree,5,7098245031827361029|7105494495839423749|7224423885863767323|7231222456793484571|7283153065895529761
micro plastics,1,microplastic,4,7111435698338581765|7210023002677726470|7283153065895529761|7275357793857572128
micro plastics,1,plastic,5,7105494495839423749|7224423885863767323|7220357900793875717|7254362707221138715|7289304689634594081
micro plastics,1,microplasticvrij,3,7174161735895534853|7218544143742569733|7277944618300329248
micro plastics,1,plasticvrij,4,7224423885863767323|7244078696238206235|7283153065895529761|7275357793857572128
micro plastics,1,reduceplastic,3,7221072126529342725|7265221530655771936|7275642887356861729
micro plastics,1,plasticsoupfoundation,3,7283153065895529761|7304295109888118049|7315753052542160161
micro plastics,2,water,4,7259085608541293851|7256383711132847386|7254362707221138715|7289304689634594081
micro plastics,3,foryou,11,7080413142957837574|7086063131386006790|7111435698338581765|7220357900793875717|7235070602082553114|7259085608541293851|7254362707221138715|7283153065895529761|7287901171015142689|7304295109888118049|7315753052542160161
micro plastics,3,foryoupage,7,7080413142957837574|7111435698338581765|7226153811692244250|7235070602082553114|7254362707221138715|7283153065895529761|7318341881421679905
micro plastics,3,voorjou,6,7187068745393638661|7223372214551334171|7220357900793875717|7283153065895529761|7277944618300329248|7275357793857572128
micro plastics,3,voorjoupagina,4,7226153811692244250|7235070602082553114|7283153065895529761|7277944618300329248
micro plastics,4,huidverzorging,6,7092022222189104390|7129917525814463750|7162914535349685509|7287901171015142689|7314018573641387296|7313956991838211360
micro plastics,4,natuurlijkehuidverzorging,5,7092022222189104390|7287901171015142689|7304295109888118049|7318341881421679905|7315753052542160161
micro plastics,4,skincare,6,7086063131386006790|7221073917035711750|7295727194725240096|7287901171015142689|7314018573641387296|7313956991838211360
micro plastics,4,naturalskincare,5,7086063131386006790|7221073917035711750|7295727194725240096|7314651878221040928|7311654500442410273
micro plastics,6,pfas,3,7155856189589409030|7263095949889735969|7262727267166604576
micro plastics,6,lysannestaptover,3,7283153065895529761|7277944618300329248|7275357793857572128
micro plastics,7,fy,6,7080413142957837574|7220357900793875717|7304295109888118049|7318341881421679905|7315753052542160161|7309232913428630816
micro plastics,7,smyle,4,7226446391692774682|7226264560049736987|7220711936256675078|7218537052487372038
micro plastics,7,wesmyle,4,7226446391692774682|7226264560049736987|7220711936256675078|7218537052487372038
micro plastics,8,vegan,5,7084554789157129478|7156692481927580934|7216336336364506374|7224423885863767323|7218544143742569733
micro plastics,8,viral,5,7226446391692774682|7226264560049736987|7220711936256675078|7218537052487372038|7259085608541293851
micro plastics,8,vj,5,7223372214551334171|7220357900793875717|7283153065895529761|7277944618300329248|7275357793857572128
micro plastics,11,environment,4,7081293835501866246|7105494495839423749|7226992340731268378|7245778760828521755
micro plastics,11,milieu,4,7155856189589409030|7218544143742569733|7231865060031761690|7263095949889735969
micro plastics,12,nederland,4,7084554789157129478|7259085608541293851|7277944618300329248|7275357793857572128
micro plastics,14,duurzaam,11,7084554789157129478|7216336336364506374|7218544143742569733|7259085608541293851|7256383711132847386|7251563290726337819|7283153065895529761|7277944618300329248|7275357793857572128|7305276783463615777|7300104605612985633
micro plastics,15,sustainability,8,7081293835501866246|7224423885863767323|7221072126529342725|7265221530655771936|7283153065895529761|7290866604567465248|7290572093484191008|7287901171015142689
micro plastics,15,bewustwording,5,7226153811692244250|7235070602082553114|7247240269425347866|7254362707221138715|7300104605612985633
micro plastics,15,duurzaamheid,4,7231865060031761690|7283153065895529761|7277944618300329248|7275357793857572128
micro plastics,15,sustainable,3,7259085608541293851|7256383711132847386|7283153065895529761
micro plastics,15,foodforskincare,4,7287901171015142689|7304295109888118049|7318341881421679905|7315753052542160161
micro plastics,16,fyp,16,7080413142957837574|7086063131386006790|7174161735895534853|7187211176730692869|7187068745393638661|7226446391692774682|7226264560049736987|7220711936256675078|7220357900793875717|7218537052487372038|7229758057889139995|7259085608541293851|7251563290726337819|7283153065895529761|7287901171015142689|7305276783463615777
micro plastics,16,fypシ,3,7156692481927580934|7220357900793875717|7309232913428630816
micro plastics,17,pollution,4,7081293835501866246|7147746563689893126|7281742817116900640|7301711743858855201
micro plastics,19,beatthemicrobead,9,7075327800906894597|7086063131386006790|7283153065895529761|7304295109888118049|7317547921468165408|7314651878221040928|7311654500442410273|7308692386165706016|7308360683064659232
micro plastics,19,huid,3,7235070602082553114|7314018573641387296|7313956991838211360
detox,0,ontgiften,198,7057430050966195461|7057108774800067845|7054537702909267205|7050816856688495878|7049381383046810886|7049326424099949829|7066863499099573510|7065231532604116229|7064537427649547525|7059993974643150085|7070076396349050117|7098620872835091718|7108355016192298245|7125390014782950661|7123920466238065925|7122486342323358982|7116166330209815813|7135062917380132102|7128066622169877766|7127993533532851462|7127242918292638982|7139513847341124870|7157460065392463110|7153982766563069189|7150033523779325189|7171811688113540357|7167118055296879877|7167074488562142470|7162900503293119750|7161063596045257989|7179576766950821126|7177331270899338502|7192590406138252549|7192344833221037318|7191502573130550533|7191181306196282629|7190789232619687173|7190296637464464645|7190071420444101893|7188826851123498246|7198135099504856326|7216246411850026245|7213398286743457030|7211386248433274118|7210807931204406533|7210090669803588869|7209635358244343046|7209285116906966277|7206006635184016645|7226237217411239195|7228148205249187098|7243803483927776539|7241680992962923803|7241205693171158298|7258939731495505179|7257630497432538395|7257113271646407963|7255644059312606491|7271588369468099872|7269497407119838496|7268277641050901792|7263604078628965665|7280069968769600800|7279061360443444513|7279035490441923872|7274497973743127840|7294555153548496160|7288434435823897888|7307336912224734496|7306949396296502560|7301747943525190945|7308310409457437985|7066863499099573510|7171811688113540357|7307336912224734496|7306949396296502560|7066863499099573510|7065231532604116229|7064537427649547525|7059993974643150085|7080041168096038150|7078562590502210822|7070076396349050117|7070031029142179077|7092309691392363781|7091154639395097861|7090808960076369158|7090438040774003973|7088695287950232837|7088365095595658501|7085973475222883589|7083375700622839046|7082636799054564614|7081969133033655558|7098984703285333253|7098620872835091718|7093137052010630406|7108355016192298245|7105260452975889669|7104308907614522630|7125390014782950661|7123920466238065925|7122486342323358982|7120521680111324422|7120474393951751430|7119508780739464453|7116166330209815813|7137704660776815877|7135062917380132102|7128066622169877766|7127993533532851462|7127537519004028166|7127242918292638982|7127195622234443014|7148763022922665221|7140886648832773381|7139513847341124870|7159446428178320645|7157956582062443781|7157460065392463110|7154992310588083461|7154281698589478149|7153982766563069189|7150033523779325189|7171811688113540357|7167118055296879877|7167074488562142470|7162900503293119750|7161063596045257989|7179576766950821126|7178867992640507142|7177331270899338502|7176650559879941381|7175446006052539654|7193237114622840069|7192590406138252549|7192344833221037318|7191763393496239366|7191502573130550533|7191181306196282629|7190789232619687173|7190296637464464645|7190071420444101893|7188826851123498246|7205118094845545733|7202994724981165318|7202321246392962309|7198236039884950790|7198135099504856326|7216246411850026245|7215602473547877637|7215147914677505286|7214913724371537158|7214910565351738629|7213398286743457030|7211386248433274118|7211177273502764294|7210807931204406533|7210442606155762950|7210404561515760902|7210090669803588869|7209635358244343046|7209285116906966277|7206006635184016645|7227532471712206107|7226697491591236891|7226420921723047194|7226251323505773851|7226237217411239195|7225740155343195419|7225529478485691674|7220863625911700762|7237108630548385051|7234176486603836698|7234096452186672411|7233826727519112475|7232230004300598555|7228148205249187098|7246020584377748762|7243803483927776539|7261985810226941217|7258939731495505179|7257630497432538395|7271588369468099872|7269497407119838496|7268277641050901792|7267495693923700001|7283152761808555297|7280069968769600800|7280045220564077830|7279061360443444513|7279035490441923872|7294555153548496160|7307336912224734496|7306949396296502560|7304933823094000929|7301747943525190945|7308310409457437985
